name,aliases,severityBand,primarySourceText,corroboratingSources,sourceText,chapter,verse,evidenceSnippet,pageRef,tradition,reviewStatus,weightSupportStatus,weightAssessmentNotes,reviewedBy,reviewedAt,confidence,notes
amritSiddhi,,excellent,raman,muhurtaJyotis,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,rise to Amita Siddha Yoga.,raman:p1;40,raman+support+english,unverified,corroboratedEnglish,English-source support only; not Sanskrit-verified.,,,medium,ramanHits=2; supportHits=0; muhurtaJyotisHits=1
amrita,amritadi:amrita,excellent,raman,muhurtaJyotis,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,rise to Amita Siddha Yoga.,raman:p1;40,raman+support+english,unverified,corroboratedEnglish,English-source support only; not Sanskrit-verified.,,,medium,ramanHits=2; supportHits=0; muhurtaJyotisHits=1
amritaTithi,,excellent,,,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,,,raman+support+english,unverified,unsupportedEnglish,English-source support only; not Sanskrit-verified.,,,low,ramanHits=0; supportHits=0; muhurtaJyotisHits=0
apaduddharaka,,good,,,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,,,raman+support+english,unverified,unsupportedEnglish,English-source support only; not Sanskrit-verified.,,,low,ramanHits=0; supportHits=0; muhurtaJyotisHits=0
asubha,,inauspicious,support,,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,Asubha Yoga: If lagna has malefics or has “paapa kartari” – malefics in 12th and 2nd,support:p1,raman+support+english,unverified,singleEnglishSource,English-source support only; not Sanskrit-verified.,,,low,ramanHits=0; supportHits=1; muhurtaJyotisHits=0
dagdha,,mixedInauspicious,,,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,,,raman+support+english,unverified,unsupportedEnglish,English-source support only; not Sanskrit-verified.,,,low,ramanHits=0; supportHits=0; muhurtaJyotisHits=0
dasaMasya,,inauspicious,,,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,,,raman+support+english,unverified,unsupportedEnglish,English-source support only; not Sanskrit-verified.,,,low,ramanHits=0; supportHits=0; muhurtaJyotisHits=0
dvipushkara,,good,,,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,,,raman+support+english,unverified,unsupportedEnglish,English-source support only; not Sanskrit-verified.,,,low,ramanHits=0; supportHits=0; muhurtaJyotisHits=0
generalRestrictions,,inauspicious,muhurtaJyotis,"raman,support",Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,prohibited on account of tlie dysgeuic influence,raman:p1,raman+support+english,unverified,corroboratedEnglish,English-source support only; not Sanskrit-verified.,,,medium,ramanHits=3; supportHits=1; muhurtaJyotisHits=4
guruPushya,,excellent,muhurtaJyotis,,Muhurtha Or Electional Astrology (B. V. Raman); Vedic Astrology Textbook (support); Muhurta Jyotis Vedic Astrology,,,the 1 1th - Pushya Yoga.,muhurtaJyotis:p1,raman+support+english,unverified,singleEnglishSource,English-source support only; not Sanskrit-verified.,,,low,ramanHits=0; supportHits=0; muhurtaJyotisHits=1
