name,tithi,tithiNot,vaara,nakshatra,popularity,impact,effect
siddha,,,sunday,mula,2,2,1
siddhaTithi,1,,friday,,2,2,1
siddhaTithi,6,,friday,,2,2,1
siddhaTithi,11,,friday,,2,2,1
siddhaTithi,2,,wednesday,,2,2,1
siddhaTithi,7,,wednesday,,2,2,1
siddhaTithi,12,,wednesday,,2,2,1
siddhaTithi,3,,tuesday,,2,2,1
siddhaTithi,8,,tuesday,,2,2,1
siddhaTithi,13,,tuesday,,2,2,1
siddhaTithi,4,,saturday,,2,2,1
siddhaTithi,9,,saturday,,2,2,1
siddhaTithi,14,,saturday,,2,2,1
siddhaTithi,5,,thursday,,2,2,1
siddhaTithi,10,,thursday,,2,2,1
siddhaTithi,15,,thursday,,2,2,1
amritaTithi,1,,sunday,,1,2,1
amritaTithi,6,,sunday,,1,2,1
amritaTithi,11,,sunday,,1,2,1
amritaTithi,1,,tuesday,,1,2,1
amritaTithi,6,,tuesday,,1,2,1
amritaTithi,11,,tuesday,,1,2,1
amritaTithi,2,,monday,,1,2,1
amritaTithi,7,,monday,,1,2,1
amritaTithi,12,,monday,,1,2,1
amritaTithi,2,,friday,,1,2,1
amritaTithi,7,,friday,,1,2,1
amritaTithi,12,,friday,,1,2,1
amritaTithi,3,,wednesday,,1,2,1
amritaTithi,8,,wednesday,,1,2,1
amritaTithi,13,,wednesday,,1,2,1
amritaTithi,4,,thursday,,1,2,1
amritaTithi,9,,thursday,,1,2,1
amritaTithi,14,,thursday,,1,2,1
amritaTithi,5,,saturday,,1,2,1
amritaTithi,10,,saturday,,1,2,1
amritaTithi,15,,saturday,,1,2,1
krakacha,6,,saturday,,1,4,-1
krakacha,7,,friday,,2,4,-1
krakacha,8,,thursday,,1,4,-1
krakacha,9,,wednesday,,1,4,-1
krakacha,10,,tuesday,,1,4,-1
krakacha,11,,monday,,1,4,-1
krakacha,12,,sunday,,1,4,-1
dagdha,12,,sunday,,2,2,-1
dagdha,11,,monday,,2,2,-1
dagdha,5,,tuesday,,2,2,-1
dagdha,2,,wednesday,,2,2,-1
dagdha,3,,wednesday,,2,2,-1
dagdha,6,,thursday,,2,2,-1
dagdha,8,,friday,,2,2,-1
dagdha,9,,saturday,,2,2,-1
hutasana,12,,sunday,,2,2,-1
hutasana,6,,monday,,2,2,-1
hutasana,7,,tuesday,,2,2,-1
hutasana,8,,wednesday,,2,2,-1
hutasana,9,,thursday,,2,2,-1
hutasana,10,,friday,,2,2,-1
hutasana,11,,saturday,,2,2,-1
visha,4,,sunday,,2,2,-1
visha,6,,monday,,2,2,-1
visha,7,,tuesday,,2,2,-1
visha,2,,wednesday,,2,2,-1
visha,8,,thursday,,2,2,-1
visha,9,,friday,,2,2,-1
visha,7,,saturday,,2,2,-1
samvartaka,1,,wednesday,,2,2,-1
samvartaka,7,,sunday,,2,2,-1
asubha,1,,,uttaraAshadha,1,2,-1
asubha,2,,,anuradha,1,2,-1
asubha,3,,,uttaraPhalguni,1,2,-1
asubha,3,,,uttaraAshadha,1,2,-1
asubha,3,,,uttaraBhadrapada,1,2,-1
asubha,5,,,magha,1,2,-1
asubha,7,,,mula,1,2,-1
asubha,7,,,hasta,1,2,-1
asubha,8,,,purvaBhadrapada,1,2,-1
asubha,9,,,krittika,1,2,-1
asubha,6,,,rohini,1,2,-1
asubha,11,,,rohini,1,2,-1
asubha,12,,,ashlesha,1,2,-1
asubha,13,,,svati,1,2,-1
asubha,13,,,chitra,1,2,-1
dasaMasya,2,,,anuradha,1,2,-1
dasaMasya,3,,,uttaraPhalguni,1,2,-1
dasaMasya,3,,,uttaraAshadha,1,2,-1
dasaMasya,3,,,uttaraBhadrapada,1,2,-1
dasaMasya,5,,,magha,1,2,-1
dasaMasya,5,,,hasta,1,2,-1
dasaMasya,13,,,svati,1,2,-1
dasaMasya,13,,,chitra,1,2,-1
dasaMasya,8,,,rohini,1,2,-1
sarvarthaSiddhi,,,sunday,ashvini,2,2,1
sarvarthaSiddhi,,,sunday,pushya,2,2,1
sarvarthaSiddhi,,,sunday,hasta,2,2,1
sarvarthaSiddhi,,,sunday,uttaraPhalguni,2,2,1
sarvarthaSiddhi,,,sunday,mula,2,2,1
sarvarthaSiddhi,,,sunday,uttaraAshadha,2,2,1
sarvarthaSiddhi,,,sunday,uttaraBhadrapada,2,2,1
