object,reference,position,points
saturn,saturn,1,0
saturn,jupiter,1,0
saturn,mars,1,0
saturn,sun,1,1
saturn,venus,1,0
saturn,mercury,1,0
saturn,moon,1,0
saturn,asc,1,1
venus,saturn,1,0
venus,jupiter,1,0
venus,mars,1,0
venus,sun,1,0
venus,venus,1,1
venus,mercury,1,0
venus,moon,1,1
venus,asc,1,1
jupiter,saturn,1,0
jupiter,jupiter,1,1
jupiter,mars,1,1
jupiter,sun,1,1
jupiter,venus,1,0
jupiter,mercury,1,1
jupiter,moon,1,0
jupiter,asc,1,1
mercury,saturn,1,1
mercury,jupiter,1,0
mercury,mars,1,1
mercury,sun,1,0
mercury,venus,1,1
mercury,mercury,1,1
mercury,moon,1,0
mercury,asc,1,1
mars,saturn,1,1
mars,jupiter,1,0
mars,mars,1,1
mars,sun,1,0
mars,venus,1,0
mars,mercury,1,0
mars,moon,1,0
mars,asc,1,1
moon,saturn,1,0
moon,jupiter,1,1
moon,mars,1,0
moon,sun,1,0
moon,venus,1,0
moon,mercury,1,1
moon,moon,1,1
moon,asc,1,0
sun,saturn,1,1
sun,jupiter,1,0
sun,mars,1,1
sun,sun,1,1
sun,venus,1,0
sun,mercury,1,0
sun,moon,1,0
sun,asc,1,0
asc,saturn,1,1
asc,jupiter,1,1
asc,mars,1,1
asc,sun,1,0
asc,venus,1,1
asc,mercury,1,1
asc,moon,1,0
asc,asc,1,0
saturn,saturn,2,0
saturn,jupiter,2,0
saturn,mars,2,0
saturn,sun,2,1
saturn,venus,2,0
saturn,mercury,2,0
saturn,moon,2,0
saturn,asc,2,0
venus,saturn,2,0
venus,jupiter,2,0
venus,mars,2,0
venus,sun,2,0
venus,venus,2,1
venus,mercury,2,0
venus,moon,2,1
venus,asc,2,1
jupiter,saturn,2,0
jupiter,jupiter,2,1
jupiter,mars,2,1
jupiter,sun,2,1
jupiter,venus,2,1
jupiter,mercury,2,1
jupiter,moon,2,1
jupiter,asc,2,1
mercury,saturn,2,1
mercury,jupiter,2,0
mercury,mars,2,1
mercury,sun,2,0
mercury,venus,2,1
mercury,mercury,2,0
mercury,moon,2,1
mercury,asc,2,1
mars,saturn,2,0
mars,jupiter,2,0
mars,mars,2,1
mars,sun,2,0
mars,venus,2,0
mars,mercury,2,0
mars,moon,2,0
mars,asc,2,0
moon,saturn,2,0
moon,jupiter,2,1
moon,mars,2,1
moon,sun,2,0
moon,venus,2,0
moon,mercury,2,0
moon,moon,2,0
moon,asc,2,0
sun,saturn,2,1
sun,jupiter,2,0
sun,mars,2,1
sun,sun,2,1
sun,venus,2,0
