tithi,vaar,effect,type
0,thursday,1,poorna
1,friday,1,nanda
2,wednesday,1,bhadra
3,tuesday,1,jaya
4,saturday,1,rikta
5,thursday,1,poorna
6,friday,1,nanda
7,wednesday,1,bhadra
8,tuesday,1,jaya
9,saturday,1,rikta
10,thursday,1,poorna
11,friday,1,nanda
12,wednesday,1,bhadra
13,tuesday,1,jaya
14,saturday,1,rikta
15,thursday,1,poorna
16,friday,1,nanda
17,wednesday,1,bhadra
18,tuesday,1,jaya
19,saturday,1,rikta
20,thursday,1,poorna
21,friday,1,nanda
22,wednesday,1,bhadra
23,tuesday,1,jaya
24,saturday,1,rikta
25,thursday,1,poorna
26,friday,1,nanda
27,wednesday,1,bhadra
28,tuesday,1,jaya
29,saturday,1,rikta
12,sunday,-1,dagdha
11,monday,-1,dagdha
5,tuesday,-1,dagdha
3,wednesday,-1,dagdha
6,thursday,-1,dagdha
8,friday,-1,dagdha
9,saturday,-1,dagdha
4,sunday,-1,visha
6,monday,-1,visha
7,tuesday,-1,visha
2,wednesday,-1,visha
8,thursday,-1,visha
9,friday,-1,visha
7,saturday,-1,visha
12,sunday,-1,hutashan
6,monday,-1,hutashan
7,tuesday,-1,hutashan
8,wednesday,-1,hutashan
9,thursday,-1,hutashan
10,friday,-1,hutashan
11,saturday,-1,hutashan
