tithi,type,dharma,artha,kama,moksha
0,poorna,1,-1,-1,1
1,nanda,1,1,1,1
2,bhadra,0,1,1,0
3,jaya,0,1,1,0
4,rikta,-1,-1,-1,-1
5,poorna,0,1,1,0
6,nanda,0,1,-1,0
7,bhadra,0,1,1,0
8,jaya,1,1,0,0
9,rikta,-1,-1,-1,-1
10,poorna,1,1,1,1
11,nanda,1,0,1,1
12,bhadra,1,1,-1,1
13,jaya,1,1,-1,1
14,rikta,-1,-1,-1,1
15,poorna,1,1,0,1
16,nanda,-1,-1,-1,-1
17,bhadra,0,1,1,0
18,jaya,0,1,1,0
19,rikta,-1,-1,-1,-1
20,poorna,0,1,1,0
21,nanda,0,1,-1,0
22,bhadra,0,1,1,0
23,jaya,1,1,0,0
24,rikta,-1,-1,-1,-1
25,poorna,1,1,1,1
26,nanda,1,0,1,1
27,bhadra,1,1,-1,1
28,jaya,1,1,-1,1
29,rikta,-1,-1,-1,1
